ID,DATE,PEAK_CURRENT,CHI_SQUARED,NUMBER_OF_SENSORS,HIT_GROUND,DISCHARGES,LAND_COVER,REL_HUMIDITY,AVG_REL_HUMIDITY_1_DAY,AVG_REL_HUMIDITY_3_DAY,AVG_REL_HUMIDITY_5_DAY,AVG_REL_HUMIDITY_10_DAY,AVG_REL_HUMIDITY_15_DAY,TEMPERATURE,AVG_TEMPERATURE_1_DAY,AVG_TEMPERATURE_3_DAY,AVG_TEMPERATURE_5_DAY,AVG_TEMPERATURE_10_DAY,AVG_TEMPERATURE_15_DAY,RAIN,SUM_RAIN_1_DAY,SUM_RAIN_3_DAY,SUM_RAIN_5_DAY,SUM_RAIN_10_DAY,SUM_RAIN_15_DAY,SOLAR_IRRADIANCE,SUM_SOLAR_IRRADIANCE_1_DAY,SUM_SOLAR_IRRADIANCE_3_DAY,SUM_SOLAR_IRRADIANCE_5_DAY,SUM_SOLAR_IRRADIANCE_10_DAY,SUM_SOLAR_IRRADIANCE_15_DAY,WIND,SUM_WIND_1_DAY,SUM_WIND_3_DAY,SUM_WIND_5_DAY,SUM_WIND_10_DAY,SUM_WIND_15_DAY
2898805,2014-04-11T16:33:33.259640Z,-7.844,0.6,3,True,1,111,77.0,69.64583333333333,69.40277777777777,67.675,65.18333333333334,66.6763888888889,13.8,69.64583333333333,69.40277777777777,67.675,65.18333333333334,66.6763888888889,13.8,3.6999999999999997,3.6999999999999997,3.6999999999999997,34.400000000000006,42.100000000000016,2.0,8064.0,33773.0,57686.0,99252.0,135660.0,5.6,140.70000000000002,375.19999999999993,611.8,1710.5000000000002,2113.4000000000005
2898980,2014-04-11T16:57:59.245109Z,-15.873,1.4,4,True,4,224,100.0,86.54166666666667,72.48611111111111,75.87083333333334,77.99791666666667,80.55833333333334,2.7,86.54166666666667,72.48611111111111,75.87083333333334,77.99791666666667,80.55833333333334,2.7,11.0,11.0,11.0,37.099999999999994,43.39999999999999,3.0,6407.0,31927.0,54755.0,95241.0,133626.0,,,,,,
2899525,2014-04-11T18:26:24.096730Z,-8.6025,0.3,3,True,4,111,74.0,67.41666666666667,74.04861111111111,71.80833333333334,76.53958333333334,77.08888888888889,13.5,67.41666666666667,74.04861111111111,71.80833333333334,76.53958333333334,77.08888888888889,13.5,0.0,0.0,0.0,37.8,52.099999999999994,10.0,12852.0,39308.0,64678.0,109187.0,149378.0,6.8,157.8,407.40000000000003,681.0999999999999,1688.5000000000002,2869.7999999999997
2899418,2014-04-11T18:13:34.496301Z,-11.174,0.7,4,True,5,221,83.0,68.70833333333333,73.05555555555556,72.05,74.73333333333333,76.09166666666667,12.7,68.70833333333333,73.05555555555556,72.05,74.73333333333333,76.09166666666667,12.7,6.0,6.0,6.0,39.9,57.900000000000006,0.0,6387.0,19946.0,32311.0,53136.0,72546.0,,,,,,
2899883,2014-04-11T20:12:11.136346Z,-5.6425,3.9,2,True,1,221,91.0,78.14583333333333,76.02083333333333,74.44583333333334,73.44791666666667,75.03611111111111,13.6,78.14583333333333,76.02083333333333,74.44583333333334,73.44791666666667,75.03611111111111,13.6,2.7,2.7,2.7,46.70000000000001,54.400000000000006,0.0,10644.0,35786.0,62350.0,106647.0,139798.0,,,,,,
2898955,2014-04-11T16:54:49.251116Z,-65.971,1.4,5,True,7,221,80.0,70.375,56.50694444444444,57.083333333333336,64.87291666666667,70.15555555555555,4.5,70.375,56.50694444444444,57.083333333333336,64.87291666666667,70.15555555555555,4.5,0.6,0.6,0.8999999999999999,89.39999999999998,111.69999999999999,10.0,7384.0,32620.0,58621.0,100791.0,131646.0,4.2,162.09999999999994,490.8000000000003,812.9999999999999,1598.1999999999991,2664.6999999999966
2898355,2014-04-11T14:39:52.423208Z,-6.845,2.3,2,True,3,222,93.0,79.29166666666667,79.47222222222223,76.05,77.9,79.18055555555556,13.0,79.29166666666667,79.47222222222223,76.05,77.9,79.18055555555556,13.0,14.399999999999999,15.3,15.3,73.00000000000001,79.20000000000002,11.0,2560.0,14372.0,23555.0,43383.0,60604.0,,,,,,
2900066,2014-04-11T21:48:40.987360Z,-16.4465,0.5,4,True,1,221,92.0,79.85416666666667,76.4322033898305,76.40963855421687,70.6013986013986,72.7192118226601,14.5,79.85416666666667,76.4322033898305,76.40963855421687,70.6013986013986,72.7192118226601,14.5,5.800000000000001,5.800000000000001,5.800000000000001,27.399999999999988,47.000000000000014,0.0,9050.0,26734.0,39278.0,60505.0,74953.0,,,,,,
2897610,2014-04-11T11:13:22.776931Z,-7.9365,0.1,2,True,1,228,90.0,77.54166666666667,61.80555555555556,65.57083333333334,74.17083333333333,77.00555555555556,2.1,77.54166666666667,61.80555555555556,65.57083333333334,74.17083333333333,77.00555555555556,2.1,5.8,5.8,5.8,107.00000000000001,158.0,139.0,11728.0,36902.0,61344.0,111814.0,150421.0,,,,,,
2899513,2014-04-11T18:25:42.439794Z,-3.33,1.9,3,True,10,221,68.0,78.45833333333333,80.34722222222223,79.99166666666666,79.3,79.8375,16.3,78.45833333333333,80.34722222222223,79.99166666666666,79.3,79.8375,16.3,0.0,0.0,0.0,29.500000000000007,44.40000000000001,8.0,12365.0,38540.0,63767.0,108394.0,147487.0,3.5,107.20000000000002,278.89999999999986,455.99999999999994,1138.1000000000004,1812.6999999999996
